type_id,volume_isk,typeName
29668,837583151247.2566,30 Day Pilot's License Extension (PLEX)
30747,38734181922.48796,Sleeper Drone AI Nexus
34,21439052460.5139,Tritanium
36,21148611496.882713,Mexallon
30746,18298964899.198475,Ancient Coordinates Database
17889,15796332649.20017,Hydrogen Isotopes
28606,15022845616.441526,Orca
33681,14537317471.447453,Gecko
30745,14506733687.75746,Sleeper Data Library
17738,14336861290.723734,Machariel
28665,13527671558.302202,Vargur
17918,13413113312.961014,Rattlesnake
4246,12947488234.438475,Hydrogen Fuel Block
33470,12542972429.50305,Stratios
17715,12071978462.774408,Gila
12478,11473555144.21407,Khumaak
35,11153511504.456442,Pyerite
20189,10921900384.210175,Fenrir
39,9918987952.37068,Zydrine
28710,9682750106.955761,Golem
21010,9372834610.16949,Capital Propulsion Engine Blueprint
20533,9094103476.957968,Capital Ships
20185,8998419757.668444,Charon
15681,8519080453.816101,Caldari Navy Ballistic Control System
38,7852162689.171694,Nocxium
33468,7287505907.938134,Astero
15806,7222062901.080001,Republic Fleet Gyrostabilizer
22548,7164674756.182204,Mackinaw
22544,6998450620.068307,Hulk
645,6998450334.828305,Dominix
29984,6946207748.031358,Tengu
25600,6825719249.4545765,Burned Logic Circuit
16263,6743152624.474405,Glacial Mass
33157,6540761683.012034,Hurricane Fleet Issue
34562,6482857535.0272875,Svipul
9848,6449484169.907118,Robotics
4247,6361085770.909829,Helium Fuel Block
644,6284789976.0650835,Typhoon
28758,6167255383.341185,Sisters Core Probe Launcher
24702,6153597397.112542,Hurricane
24694,6053197917.697628,Maelstrom
30744,6006352053.594407,Neural Network Analyzer
22546,5975100694.054748,Skiff
37,5944028609.034069,Isogen
4349,5924014117.801355,Pithum C-Type Adaptive Invulnerability Field
12005,5757878059.139151,Ishtar
40,5609774700.429154,Megacyte
25624,5565903870.974576,Intact Armor Plates
638,5417643104.653557,Raven
28668,5201369039.539152,Nanite Repair Paste
25617,4930081089.323558,Power Circuit
32311,4902026919.435929,Typhoon Fleet Issue
17740,4886254168.042542,Vindicator
11993,4825126885.725423,Cerberus
15669,4784502122.4806795,Imperial Navy General Insignia II
17720,4718687279.963559,Cynabal
31796,4702544749.742204,Medium Core Defense Field Extender II
33818,4492872614.685424,Orthrus
24314,4448310474.728135,Minmatar Carrier
33820,4369042220.974482,Barghest
30259,4279343169.293049,Melted Nanoribbons
24313,4226757218.4679666,Gallente Carrier
29990,4195296799.627457,Loki
17843,4054357504.1739006,Vexor Navy Issue
17636,4011120047.7044816,Raven Navy Issue
639,3997742755.892542,Tempest
4051,3879859164.2735596,Nitrogen Fuel Block
20532,3850355764.447288,Minmatar Dreadnought
25619,3839475601.7116942,Logic Circuit
17478,3824842798.020678,Retriever
17559,3821062659.947457,Federation Navy Stasis Webifier
9832,3819549688.3781357,Coolant
10222,3677577617.660339,Cybernetic Subprocessor - Improved
10217,3598504438.02017,Ocular Filter - Improved
19198,3558206290.9206777,Gist X-Type X-Large Shield Booster
24698,3449742014.124744,Drake
10216,3429036708.883391,Ocular Filter - Standard
16274,3421175688.6177974,Helium Isotopes
10209,3381203528.248305,Memory Augmentation - Improved
2082,3375052299.4342394,Genolution Core Augmentation CA-1
29988,3359080592.3510156,Proteus
25605,3340131516.7569485,Armor Plates
2589,3331222048.7584753,Genolution Core Augmentation CA-2
10212,3320912321.6496615,Neural Boost - Standard
11999,3319047897.142543,Vagabond
10213,3302797335.4235587,Neural Boost - Improved
17736,3288668786.0027113,Nightmare
2050,3282084094.05068,Gistum C-Type Adaptive Invulnerability Field
10221,3191106723.974237,Cybernetic Subprocessor - Standard
4312,3189613936.9533896,Oxygen Fuel Block
10208,3165476652.3647447,Memory Augmentation - Standard
15891,3145486921.8771186,Republic Fleet Warp Disruptor
2998,3143413225.8289833,Noctis
17455,3120081406.778646,Azure Plagioclase
18,3113151592.6105084,Plagioclase
26374,3088184566.5608473,Large Capacitor Control Circuit II
643,3058124566.4659314,Armageddon
31059,3035344184.2045774,Medium Trimark Armor Pump II
